Country,GDP_Per_Capita,Current_Interest_Rate,Previous_Interest_Rate,Average_inflation_rate,Current_Wage_Growth,Previous_Wage_Growth
Sao Tome and Principe,2486,10,10,,,
Saudi Arabia,23186,6,6,1.24,,
Senegal,1637,5.25,5,,,
Serbia,8643,6.5,6.5,2.31,15.1,16.2
Seychelles,12085,2,2,3.91,,
Sierra Leone,505,21.25,19.25,14.77,,
Singapore,66822,3.77,3.66,,,
Sint Maarten,26199,5.5, 0.75,,,
Slovakia,21390,,,,-2,-4.9
Slovenia,29135,,,,9.98,9.87
Solomon Islands,2306,,,,,
Somalia,447,,,,,
South Africa,7055,8.25,8.25,4.34,,
South Korea,34940,3.5,3.5,1.31,,
South Sudan,400,12,12,,,
Spain,30058,,,,5.05,5.98
Sri Lanka,3918,10,11,4.97,,
Sudan,453,27.3,26.82,,,
Suriname,5259,10,10,,,
Sweden,60730,4,3.75,1.66,3.1,3.2
Switzerland,93525,1.75,1.75,0.31,1.8,1.8
Syria,925,,,,,
Taiwan,,1.88,1.88,0.91,,
Tajikistan,897,10,10,7.1,,
Tanzania,1136,5,5,,,
Thailand,7067,2.5,2.25,0.49,,
Timor Leste,1517,,,,,
Togo,944,5.25,5,,,
Tonga,4451,,,,,
Trinidad and Tobago,16033,3.5,3.5,1.11,,
Tunisia,3807,8,8,6.14,,
Turkey,9661,30,25,14.38,,
Turkmenistan,8508,,,,,
Turks and Caicos Islands,20909,,,,,
Tuvalu,5370,,,,,
Uganda,930,9.5,9.5,3.11,,
Ukraine,4596,20,22,9.11,,
United Arab Emirates,43295,5.4,5.4,0.61,,
United Kingdom,46542,5.25,5.25,2,8.5,8.4
United States of America,69185,5.5,5.5,2.46,5.73,6
Uruguay,17313,9.5,10,7.8,,
Uzbekistan,2032,14,14,13.95,,
Vanuatu,3073,,,,,
Venezuela,3965,55.27,55.73,,,
Vietnam,3721,4.5,4.5,3.02,,
Yemen,302,,,,,
Zambia,1095,10,10,12.25,,
Zimbabwe,1508,150,150,183.31,,
